"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Lyz2.4",0,2.51947176597886,0.944,0.262,0,"5","Lyz2"
"Prdx1.1",0,2.48844757294832,0.951,0.164,0,"5","Prdx1"
"H2-Ab1",0,2.46411014439038,0.7,0.05,0,"5","H2-Ab1"
"Ctsc",0,2.32693888584654,0.911,0.054,0,"5","Ctsc"
"Ctss.4",0,2.20634646082308,0.966,0.257,0,"5","Ctss"
"Vim.4",0,2.13823707157707,0.976,0.256,0,"5","Vim"
"Ms4a6c",0,2.13203864628107,0.723,0.014,0,"5","Ms4a6c"
"Fn1",0,2.1298295386136,0.649,0.007,0,"5","Fn1"
"Ass1",0,2.09260287041726,0.745,0.025,0,"5","Ass1"
"Sdc4",0,2.08276017332841,0.804,0.021,0,"5","Sdc4"
"S100a10",0,2.07089789843804,0.936,0.073,0,"5","S100a10"
"Gpx1.3",0,1.90348026272229,0.943,0.238,0,"5","Gpx1"
"Tgfbi.1",0,1.89329447986394,0.87,0.121,0,"5","Tgfbi"
"Anxa5",0,1.86389022824593,0.907,0.065,0,"5","Anxa5"
"Tmsb10.5",0,1.81859569439049,0.978,0.263,0,"5","Tmsb10"
"Lgals3.5",0,1.74615613423347,0.99,0.458,0,"5","Lgals3"
"Ms4a6d",0,1.74463487478808,0.772,0.014,0,"5","Ms4a6d"
"Ahnak",0,1.74086922362067,0.838,0.054,0,"5","Ahnak"
"Fcgr2b",0,1.73286627821479,0.87,0.062,0,"5","Fcgr2b"
"Emp3",0,1.71588953153147,0.909,0.111,0,"5","Emp3"
"Lgals1",0,1.67626982108842,0.882,0.05,0,"5","Lgals1"
"Rps4x",0,1.66007882574081,0.976,0.168,0,"5","Rps4x"
"Pid1",0,1.606978324542,0.771,0.011,0,"5","Pid1"
"S100a4",0,1.58860365877419,0.745,0.033,0,"5","S100a4"
"Aif1",0,1.5814121627877,0.637,0.009,0,"5","Aif1"
"Ucp2.4",0,1.57617708871658,0.911,0.204,0,"5","Ucp2"
"Cxcl16",0,1.55744669201093,0.708,0.021,0,"5","Cxcl16"
"Tagln2",0,1.53510996698038,0.917,0.167,0,"5","Tagln2"
"Rpl6.5",0,1.5097836042147,0.985,0.294,0,"5","Rpl6"
"Ecm1",0,1.47039196156522,0.639,0.017,0,"5","Ecm1"
"Hsp90ab1.5",0,1.4456156901677,0.96,0.213,0,"5","Hsp90ab1"
"Rps24.4",0,1.4450988066361,0.988,0.374,0,"5","Rps24"
"Mafb",0,1.43566488033032,0.538,0.003,0,"5","Mafb"
"Rpl13.5",0,1.42019071846365,0.981,0.352,0,"5","Rpl13"
"Rps8.5",0,1.42001558470045,0.988,0.39,0,"5","Rps8"
"Dbi",0,1.4184510658566,0.794,0.045,0,"5","Dbi"
"Uqcrb",0,1.41766882143308,0.902,0.099,0,"5","Uqcrb"
"Rps20.5",0,1.41464487761164,0.983,0.26,0,"5","Rps20"
"Rpl35.5",0,1.41225564636582,0.961,0.204,0,"5","Rpl35"
"Selenow",0,1.40854814353445,0.816,0.049,0,"5","Selenow"
"F13a1",0,1.40240665234105,0.587,0.006,0,"5","F13a1"
"Rpl36al.1",0,1.40209863494672,0.909,0.111,0,"5","Rpl36al"
"Rpl11.5",0,1.40175234503658,0.973,0.28,0,"5","Rpl11"
"mt-Co2.5",0,1.39660723954767,0.956,0.436,0,"5","mt-Co2"
"Ppia.5",0,1.39342315943326,0.976,0.257,0,"5","Ppia"
"Rpl26.5",0,1.3424025482855,0.956,0.203,0,"5","Rpl26"
"Rpl19.5",0,1.33326593566674,0.987,0.378,0,"5","Rpl19"
"Cox6c.2",0,1.31969518269766,0.938,0.183,0,"5","Cox6c"
"mt-Co1.5",0,1.31505999406138,0.965,0.583,0,"5","mt-Co1"
"Tmem256",0,1.31130409325492,0.793,0.034,0,"5","Tmem256"
"Rpl7a.5",0,1.30144965916442,0.944,0.199,0,"5","Rpl7a"
