"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Scp2",0,-0.74264729000841,0.048,0.519,0,"Neutrophils","Scp2"
"Hnrnpa1",0,-0.748052081416655,0.034,0.443,0,"Neutrophils","Hnrnpa1"
"Mrpl30",0,-0.748223572616695,0.072,0.558,0,"Neutrophils","Mrpl30"
"Fam96a",0,-0.751646826501734,0.035,0.485,0,"Neutrophils","Fam96a"
"Cenpx",0,-0.752513233996129,0.019,0.437,0,"Neutrophils","Cenpx"
"Capns1",0,-0.753872028276547,0.107,0.628,0,"Neutrophils","Capns1"
"Sec11a",0,-0.753941749442958,0.03,0.485,0,"Neutrophils","Sec11a"
"Sh3bgrl",0,-0.755307405292714,0.023,0.435,0,"Neutrophils","Sh3bgrl"
"Cmpk1",0,-0.756754236551001,0.066,0.542,0,"Neutrophils","Cmpk1"
"Tpr",0,-0.757373733678413,0.1,0.596,0,"Neutrophils","Tpr"
"Uqcrfs1",0,-0.758871835967118,0.063,0.558,0,"Neutrophils","Uqcrfs1"
"Nop10",0,-0.760040660239964,0.07,0.525,0,"Neutrophils","Nop10"
"Mrps21",0,-0.76102462665928,0.108,0.633,0,"Neutrophils","Mrps21"
"Phf11b",0,-0.762766391101011,0.003,0.308,0,"Neutrophils","Phf11b"
"mt-Atp8",0,-0.767610612664695,0.032,0.449,0,"Neutrophils","mt-Atp8"
"mt-Nd4l",0,-0.769643648037295,0.057,0.518,0,"Neutrophils","mt-Nd4l"
"mt-Nd3",0,-0.775797993342519,0.057,0.505,0,"Neutrophils","mt-Nd3"
"Nap1l1",0,-0.777705047935503,0.03,0.444,0,"Neutrophils","Nap1l1"
"Rgs10",0,-0.779151598485216,0.014,0.387,0,"Neutrophils","Rgs10"
"Banf1",0,-0.780436807065753,0.026,0.44,0,"Neutrophils","Banf1"
"Ndufs5",0,-0.780964697957888,0.054,0.541,0,"Neutrophils","Ndufs5"
"Rpl13a",0,-0.781287091023672,0.033,0.457,0,"Neutrophils","Rpl13a"
"Snrpb",0,-0.787480705080969,0.081,0.61,0,"Neutrophils","Snrpb"
"Rexo2",0,-0.788516120475339,0.016,0.417,0,"Neutrophils","Rexo2"
"Swi5",0,-0.789670918729575,0.051,0.535,0,"Neutrophils","Swi5"
"Snx2",0,-0.790217507387523,0.027,0.425,0,"Neutrophils","Snx2"
"Atp5b",0,-0.792068077225129,0.17,0.725,0,"Neutrophils","Atp5b"
"Tbcb",0,-0.793260795816649,0.045,0.52,0,"Neutrophils","Tbcb"
"Dnajc15",0,-0.796793969705047,0.022,0.405,0,"Neutrophils","Dnajc15"
"Nedd8",0,-0.797603541952914,0.15,0.702,0,"Neutrophils","Nedd8"
"Spcs1",0,-0.798975512725133,0.078,0.596,0,"Neutrophils","Spcs1"
"Fkbp2",0,-0.80122155037103,0.023,0.465,0,"Neutrophils","Fkbp2"
"Psmb6",0,-0.802183822605644,0.078,0.593,0,"Neutrophils","Psmb6"
"Dpysl2",0,-0.804367419978532,0.007,0.418,0,"Neutrophils","Dpysl2"
"Lamtor4",0,-0.806232969046554,0.054,0.517,0,"Neutrophils","Lamtor4"
"Zfp706",0,-0.81190127829943,0.057,0.54,0,"Neutrophils","Zfp706"
"Bola2",0,-0.813573111471836,0.043,0.515,0,"Neutrophils","Bola2"
"Nt5c",0,-0.81372187197658,0.012,0.439,0,"Neutrophils","Nt5c"
"Srp9",0,-0.813796733944664,0.115,0.676,0,"Neutrophils","Srp9"
"Psma3",0,-0.815302093352671,0.162,0.72,0,"Neutrophils","Psma3"
"Trmt112",0,-0.81861391997828,0.079,0.61,0,"Neutrophils","Trmt112"
"Ranbp1",0,-0.820726466743132,0.017,0.44,0,"Neutrophils","Ranbp1"
"Sptssa",0,-0.823168262596025,0.015,0.408,0,"Neutrophils","Sptssa"
"Pdcd5",0,-0.8237125179515,0.071,0.62,0,"Neutrophils","Pdcd5"
"Ywhaq",0,-0.824839644889768,0.054,0.535,0,"Neutrophils","Ywhaq"
"Ndufb4",0,-0.826824328926075,0.061,0.567,0,"Neutrophils","Ndufb4"
"Anp32b",0,-0.827003658917866,0.11,0.662,0,"Neutrophils","Anp32b"
"Fis1",0,-0.828699154450074,0.18,0.753,0,"Neutrophils","Fis1"
"Arl6ip5",0,-0.828969243936872,0.081,0.564,0,"Neutrophils","Arl6ip5"
"Ndufa5",0,-0.829758106843867,0.009,0.462,0,"Neutrophils","Ndufa5"
"Pycard",0,-0.831854820115964,0.066,0.535,0,"Neutrophils","Pycard"
"Polr1d",0,-0.83329932145641,0.135,0.718,0,"Neutrophils","Polr1d"
"Snrpd1",0,-0.836079072854034,0.025,0.505,0,"Neutrophils","Snrpd1"
"Ndufb7",0,-0.837778942843991,0.089,0.634,0,"Neutrophils","Ndufb7"
"Anxa6",0,-0.837966290593447,0.008,0.398,0,"Neutrophils","Anxa6"
"Taf10",0,-0.83888982911643,0.137,0.697,0,"Neutrophils","Taf10"
"Eif3e",0,-0.842895243406634,0.009,0.447,0,"Neutrophils","Eif3e"
"Manf",0,-0.84293877561838,0.038,0.491,0,"Neutrophils","Manf"
"Ccr5",0,-0.845509081735999,0.012,0.4,0,"Neutrophils","Ccr5"
"Dpm3",0,-0.848476587449126,0.045,0.567,0,"Neutrophils","Dpm3"
"Lsm4",0,-0.849714374758348,0.045,0.537,0,"Neutrophils","Lsm4"
"Ywhab",0,-0.852600262071706,0.136,0.695,0,"Neutrophils","Ywhab"
"Ndufv3",0,-0.857278239239065,0.111,0.656,0,"Neutrophils","Ndufv3"
"Psma2",0,-0.858881311626238,0.145,0.71,0,"Neutrophils","Psma2"
"Mrps14",0,-0.861273616764245,0.032,0.524,0,"Neutrophils","Mrps14"
"Psma4",0,-0.871160090921661,0.037,0.531,0,"Neutrophils","Psma4"
"Tmem50a",0,-0.872124003856158,0.187,0.77,0,"Neutrophils","Tmem50a"
"Tmem258",0,-0.872811595177501,0.138,0.714,0,"Neutrophils","Tmem258"
"Cops9",0,-0.875669962490747,0.062,0.594,0,"Neutrophils","Cops9"
"Hspe1",0,-0.877807437780277,0.022,0.484,0,"Neutrophils","Hspe1"
"Txndc17",0,-0.886199819820382,0.079,0.614,0,"Neutrophils","Txndc17"
"Psmb2",0,-0.886328445430809,0.068,0.625,0,"Neutrophils","Psmb2"
"Metap2",0,-0.889053764786127,0.026,0.543,0,"Neutrophils","Metap2"
"Lamtor2",0,-0.889491900708417,0.083,0.647,0,"Neutrophils","Lamtor2"
"Slc25a4",0,-0.892491731589221,0.005,0.42,0,"Neutrophils","Slc25a4"
"Uqcc2",0,-0.892776854297764,0.04,0.552,0,"Neutrophils","Uqcc2"
"Ndufb10",0,-0.895833269262284,0.042,0.57,0,"Neutrophils","Ndufb10"
"Atp5a1",0,-0.899756663189456,0.057,0.593,0,"Neutrophils","Atp5a1"
"Eef1g",0,-0.905068192950953,0.064,0.589,0,"Neutrophils","Eef1g"
"Uqcr11",0,-0.907550468835514,0.054,0.586,0,"Neutrophils","Uqcr11"
"2010107E04Rik",0,-0.908429265349761,0.195,0.787,0,"Neutrophils","2010107E04Rik"
"Pgls",0,-0.908465875139402,0.042,0.53,0,"Neutrophils","Pgls"
"Gm11808",0,-0.909216764976534,0.068,0.602,0,"Neutrophils","Gm11808"
"Edf1",0,-0.911248844327664,0.197,0.78,0,"Neutrophils","Edf1"
"Atp5j",0,-0.913356074297476,0.175,0.757,0,"Neutrophils","Atp5j"
"Itgb7",0,-0.913412648370224,0.01,0.392,0,"Neutrophils","Itgb7"
"Erp29",0,-0.91551029914556,0.085,0.59,0,"Neutrophils","Erp29"
"Mdh1",0,-0.92186442305239,0.009,0.449,0,"Neutrophils","Mdh1"
"Nme1",0,-0.921964451486368,0.032,0.528,0,"Neutrophils","Nme1"
"Pomp",0,-0.922434318809885,0.157,0.728,0,"Neutrophils","Pomp"
"Eif3k",0,-0.923225895837549,0.173,0.784,0,"Neutrophils","Eif3k"
"Tmem14c",0,-0.929376265329418,0.085,0.648,0,"Neutrophils","Tmem14c"
"Timm13",0,-0.930714989574972,0.044,0.595,0,"Neutrophils","Timm13"
"Atp5f1",0,-0.934167736107951,0.163,0.755,0,"Neutrophils","Atp5f1"
"Nol7",0,-0.938203173758038,0.032,0.552,0,"Neutrophils","Nol7"
"Psma7",0,-0.942748620968622,0.167,0.733,0,"Neutrophils","Psma7"
"Rps9",0,-0.946755640609211,0.724,0.963,0,"Neutrophils","Rps9"
"Slc25a5",0,-0.953395099417967,0.075,0.637,0,"Neutrophils","Slc25a5"
"Sec11c",0,-0.95399279926621,0.084,0.609,0,"Neutrophils","Sec11c"
"Cox7b",0,-0.956084339028306,0.09,0.664,0,"Neutrophils","Cox7b"
