"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Clec5a.1",3.05952107309402e-217,0.960110350969041,0.432,0.258,5.42820228788341e-213,"4","Clec5a"
"Eif3f.2",5.91458731650054e-217,-0.995495559300257,0.173,0.794,1.04936608169353e-212,"4","Eif3f"
"Socs3.1",6.70543158932157e-217,1.21469631698626,0.689,0.471,1.18967767257743e-212,"4","Socs3"
"Rps13.3",2.23714623062154e-216,-1.11353333750591,0.773,0.969,3.96914484236873e-212,"4","Rps13"
"Cpeb2",7.26319872887393e-216,0.947955169791886,0.408,0.174,1.28863671847681e-211,"4","Cpeb2"
"Rbms1.2",1.62677217814059e-215,0.818932445294859,0.656,0.53,2.88621919845703e-211,"4","Rbms1"
"Tnfrsf1b.3",2.4413888858979e-215,0.972020237105331,0.558,0.455,4.33151216136006e-211,"4","Tnfrsf1b"
"mt-Nd5",1.1248997419254e-214,-0.937087993418286,0.213,0.823,1.99579712212404e-210,"4","mt-Nd5"
"Rpl29.2",2.09639016282149e-214,-1.05889347623613,0.421,0.91,3.71941542687788e-210,"4","Rpl29"
"1600014C10Rik.2",2.71170065173362e-214,0.7706862993955,0.414,0.36,4.8110992963058e-210,"4","1600014C10Rik"
"Rhog.1",9.9573084678701e-214,0.707411528866334,0.648,0.631,1.76662566836951e-209,"4","Rhog"
"Rps3.3",4.53288575542864e-213,-1.05138734015304,0.704,0.958,8.0422459072815e-209,"4","Rps3"
"Rpl36.2",9.73822549256333e-213,-1.15744573570515,0.594,0.945,1.72775596689059e-208,"4","Rpl36"
"Ptpn18.1",1.55647919086563e-212,-0.922900597642606,0.319,0.884,2.7615053804338e-208,"4","Ptpn18"
"Ppp1r3b",4.18877232279899e-212,1.03403264515177,0.399,0.131,7.43171985510996e-208,"4","Ppp1r3b"
"Gsn.4",7.25971693706547e-212,1.07051688243543,0.561,0.292,1.28801897897416e-207,"4","Gsn"
"Trim30a.2",3.47639648467096e-211,0.934031182270089,0.668,0.633,6.16782264310322e-207,"4","Trim30a"
"Ehd1.1",2.87351943426817e-209,1.04272749098014,0.471,0.262,5.0981981802786e-205,"4","Ehd1"
"Gsr.3",6.7738016878821e-209,1.22278225843883,0.7,0.331,1.20180789546404e-204,"4","Gsr"
"Pycard.2",3.07818864370643e-208,-1.0242045162165,0.159,0.773,5.46132229166394e-204,"4","Pycard"
"Hspe1.1",2.70560918701569e-207,-0.927716924295325,0.137,0.752,4.80029181960324e-203,"4","Hspe1"
"S100a11.3",3.97243779675326e-207,1.26122779862702,0.913,0.635,7.04789913899963e-203,"4","S100a11"
