"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"R3hdm4.6",3.3039699961974e-05,-0.658249171917005,0.256,0.4,0.542941389475119,"Macrophages","R3hdm4"
"Sla.2",3.32305852086989e-05,-0.471938632448401,0.333,0.408,0.546078206734549,"Macrophages","Sla"
"Brd4",3.33019127588518e-05,-0.62153645724314,0.231,0.529,0.547250332366211,"Macrophages","Brd4"
"Lbh.4",3.4108717064465e-05,-0.533687867671072,0.256,0.508,0.560508547520353,"Macrophages","Lbh"
"Leng8",3.41439077146747e-05,-0.285824973117692,0.282,0.261,0.56108683547525,"Macrophages","Leng8"
"Upf2.2",3.44205675050093e-05,-0.430479488006876,0.256,0.339,0.565633185809818,"Macrophages","Upf2"
"Jaml.8",3.4905024976751e-05,-0.706264834453465,0.026,0.281,0.573594275442949,"Macrophages","Jaml"
"Acin1.1",3.50248240256842e-05,-0.527216816736523,0.359,0.626,0.575562933214068,"Macrophages","Acin1"
"Arcn1",3.51121663301593e-05,-0.378022277267896,0.308,0.365,0.576998229303507,"Macrophages","Arcn1"
"Man1a2",3.53868040992551e-05,-0.309496105838461,0.256,0.284,0.581511351763059,"Macrophages","Man1a2"
"2810474O19Rik.6",3.53995973573078e-05,-0.714651009703393,0.385,0.639,0.581721583372639,"Macrophages","2810474O19Rik"
"Rasa1.1",3.55262503662208e-05,-0.473442065940442,0.103,0.289,0.583802872268107,"Macrophages","Rasa1"
"Rflnb.5",3.5581271936246e-05,-0.652981648543998,0.026,0.267,0.584707041728331,"Macrophages","Rflnb"
"Tardbp.3",3.57594923852227e-05,-0.528348970474937,0.333,0.439,0.587635738366364,"Macrophages","Tardbp"
"Vasp.6",3.60240716512408e-05,-0.368625031257052,0.41,0.703,0.59198356944484,"Macrophages","Vasp"
"Psip1.2",3.61177649579732e-05,-0.575642641513551,0.128,0.386,0.593523231554373,"Macrophages","Psip1"
"Mier1",3.63505658784005e-05,-0.632646063298896,0.308,0.549,0.597348849079755,"Macrophages","Mier1"
"Smap2.4",3.63784912352498e-05,-0.326046420271724,0.308,0.589,0.597807746468861,"Macrophages","Smap2"
"Dip2b",3.64693994123341e-05,-0.358800984040019,0.205,0.278,0.599301640542886,"Macrophages","Dip2b"
"Upf1.1",3.65403339202294e-05,-0.281770408001277,0.256,0.265,0.600467307311131,"Macrophages","Upf1"
"Arap1.4",3.66820439020996e-05,-0.404102152687384,0.308,0.325,0.602796027443203,"Macrophages","Arap1"
"Tcf12.4",3.72013182687545e-05,-0.440670631531964,0.179,0.328,0.611329263110443,"Macrophages","Tcf12"
"Aftph",3.73964093829214e-05,-0.351137698567939,0.308,0.321,0.614535195389547,"Macrophages","Aftph"
"Retreg1.5",3.74029205841754e-05,-0.635182166722164,0.128,0.341,0.614642193959754,"Macrophages","Retreg1"
"Asap1.4",3.78908991277754e-05,-0.397307182216101,0.308,0.32,0.622661145366733,"Macrophages","Asap1"
"Zfand6.1",3.79106284048241e-05,-0.384119063571476,0.333,0.387,0.622985356576474,"Macrophages","Zfand6"
"Tnrc6a.1",3.81559246142644e-05,-0.592101814521441,0.308,0.504,0.627016309186207,"Macrophages","Tnrc6a"
"Fcgr3.9",3.84033740437472e-05,0.891203747015909,0.59,0.327,0.631082645660898,"Macrophages","Fcgr3"
"Esco1",3.87334783214512e-05,-0.344874314563099,0.179,0.255,0.636507249256407,"Macrophages","Esco1"
"Btg2.6",3.92566819488078e-05,-0.725318066174016,0.41,0.742,0.645105054464759,"Macrophages","Btg2"
"Rnf19b.3",3.93141023851261e-05,-0.330845941004687,0.256,0.233,0.646048644494777,"Macrophages","Rnf19b"
"Malt1.4",3.93812011811911e-05,-0.542832760428687,0.154,0.447,0.647151279010513,"Macrophages","Malt1"
"Mical1.2",3.97519352869426e-05,-0.563098677489541,0.051,0.319,0.653243552570327,"Macrophages","Mical1"
"Ttc14.2",4.14734906218417e-05,-0.598338124207604,0.256,0.484,0.681533871388724,"Macrophages","Ttc14"
"Ctcf.1",4.18690538547703e-05,-0.36165830207777,0.282,0.496,0.688034161995441,"Macrophages","Ctcf"
"Slc2a3.7",4.27085039525158e-05,-0.739536473800107,0.026,0.277,0.701828845451693,"Macrophages","Slc2a3"
"Cdc37l1.1",4.27775298021904e-05,-0.49624859941405,0.103,0.311,0.702963147239395,"Macrophages","Cdc37l1"
"Bcl2a1b.2",4.36503924259547e-05,1.12582282084596,0.333,0.107,0.717306898735713,"Macrophages","Bcl2a1b"
"Ptk2b.4",4.36853690009845e-05,-0.480612419264146,0.205,0.496,0.717881668793178,"Macrophages","Ptk2b"
"Cd300lf.9",4.45891825158886e-05,-0.954055674441594,0.026,0.258,0.732734036283597,"Macrophages","Cd300lf"
"Dock11.2",4.57058628343474e-05,-0.555323716150978,0.154,0.431,0.751084443956831,"Macrophages","Dock11"
"Treml2.5",4.69036053625813e-05,-0.577572197284124,0.026,0.272,0.770766946923298,"Macrophages","Treml2"
"Msrb1.8",4.80154147602379e-05,-1.38507286564936,0.436,0.45,0.789037310754989,"Macrophages","Msrb1"
"Pcf11.3",4.80218145947972e-05,-0.571023572493452,0.179,0.392,0.789142479236302,"Macrophages","Pcf11"
"Nek7",4.82080222227215e-05,-0.347175315564803,0.282,0.303,0.792202429185983,"Macrophages","Nek7"
"Arid5b.3",4.82368571754045e-05,0.480228124613343,0.179,0.273,0.792676273963423,"Macrophages","Arid5b"
"Cd47.4",4.84111717352392e-05,-0.384258552912974,0.487,0.799,0.795540785125186,"Macrophages","Cd47"
"Arl2bp.2",4.86359272068476e-05,-0.39814338144354,0.128,0.271,0.799234191790127,"Macrophages","Arl2bp"
"Pxk.5",4.98339159522028e-05,-0.552284131450826,0.231,0.336,0.818920740842548,"Macrophages","Pxk"
"Pnisr.1",5.00016095371516e-05,-0.473580919780014,0.256,0.595,0.821676449524013,"Macrophages","Pnisr"
"Bcas2.2",5.03069700734675e-05,-0.404775414771525,0.231,0.349,0.826694439217291,"Macrophages","Bcas2"
"P2ry10.3",5.10138542196503e-05,-0.535043099652393,0.051,0.29,0.838310666391513,"Macrophages","P2ry10"
"Anxa6.7",5.24549582885941e-05,-0.569386342672008,0.308,0.537,0.861992329556466,"Macrophages","Anxa6"
"Rara.6",5.26695372477272e-05,-0.656170283122334,0.205,0.352,0.865518505591901,"Macrophages","Rara"
"Csnk1d",5.30767596093258e-05,-0.392634170393337,0.205,0.314,0.872210390660051,"Macrophages","Csnk1d"
"Ly6d.7",5.33871868311115e-05,-1.42860238493831,0.051,0.294,0.877311641195655,"Macrophages","Ly6d"
"Zmynd11.2",5.33933052398058e-05,-0.571411050021355,0.179,0.392,0.877412185005729,"Macrophages","Zmynd11"
"Pld4.2",5.34250725001679e-05,0.488012106953784,0.41,0.129,0.877934216395259,"Macrophages","Pld4"
"Ddx58.2",5.35236807579799e-05,-0.492743481774415,0.205,0.314,0.879554645895884,"Macrophages","Ddx58"
"Psd4.4",5.37027696086008e-05,-0.469764859527358,0.154,0.31,0.882497612978138,"Macrophages","Psd4"
"Rab8a",5.44356552833101e-05,-0.388348011402108,0.333,0.541,0.894541123270636,"Macrophages","Rab8a"
"Aprt.3",5.53454238553351e-05,1.20563115299439,0.487,0.336,0.909491350214722,"Macrophages","Aprt"
"Ndufa2.2",5.57993082347624e-05,0.444870847881605,0.564,0.655,0.91695003222185,"Macrophages","Ndufa2"
"Mau2",5.58799980457447e-05,-0.56768176238309,0.154,0.429,0.918276007885723,"Macrophages","Mau2"
"Stat6.3",5.76502841086399e-05,-0.561254541416834,0.179,0.4,0.94736711875728,"Macrophages","Stat6"
"Aes.6",5.81764965535749e-05,-0.504996537003713,0.41,0.707,0.956014367864897,"Macrophages","Aes"
"Asah1.2",5.8448702618441e-05,0.725677565104647,0.436,0.146,0.960487530128842,"Macrophages","Asah1"
"Tlk1.1",5.90423882331604e-05,-0.448626270174664,0.103,0.305,0.970243565835524,"Macrophages","Tlk1"
"Cisd2",5.90783212762681e-05,-0.420760533369257,0.205,0.315,0.970834053532913,"Macrophages","Cisd2"
"Tbc1d20.1",5.95077628161214e-05,-0.378154222951256,0.205,0.275,0.977891066357322,"Macrophages","Tbc1d20"
"Stag1.1",5.96288645497714e-05,-0.378180201008185,0.256,0.336,0.979881131146393,"Macrophages","Stag1"
