"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Fnbp4",8.20997170364436e-74,-0.273839896107504,0.123,0.364,1.34914465005988e-69,"0","Fnbp4"
"Pax5",8.53874524497749e-74,-0.806705146304443,0.054,0.283,1.40317200610715e-69,"0","Pax5"
"Adssl1",8.61636546081921e-74,0.451432787883975,0.266,0.101,1.41592733617642e-69,"0","Adssl1"
"Eri1",8.86225381870491e-74,-0.304069231852239,0.041,0.26,1.45633417002778e-69,"0","Eri1"
"Lta4h",9.74782806403525e-74,-0.309430383485337,0.089,0.329,1.60186058576291e-69,"0","Lta4h"
"Ighd",1.45784017349888e-73,-1.17676104157241,0.122,0.367,2.39566875711071e-69,"0","Ighd"
"Ap1s2",1.54690035702668e-73,0.413901132223649,0.288,0.189,2.54202135670194e-69,"0","Ap1s2"
"Zmiz2",1.84372871056505e-73,-0.300296314817298,0.055,0.278,3.02979939007155e-69,"0","Zmiz2"
"Il4ra",1.93044056333314e-73,0.289623638637815,0.336,0.337,3.17229297772535e-69,"0","Il4ra"
"Znhit1",2.79354569126999e-73,0.349385779068172,0.253,0.175,4.59063363446397e-69,"0","Znhit1"
"Acap2",3.28789794218491e-73,0.348497251628482,0.281,0.23,5.40300268839245e-69,"0","Acap2"
"Cd14",3.29617983566894e-73,0.567851469108565,0.253,0.053,5.41661232395477e-69,"0","Cd14"
"Suz12",3.7531811299741e-73,-0.259909194270987,0.096,0.326,6.16760255088644e-69,"0","Suz12"
"Tnfaip8",3.79140437044048e-73,0.290598522345967,0.412,0.409,6.23041480194484e-69,"0","Tnfaip8"
"Ndufaf8",6.22588154972732e-73,-0.253960208910566,0.063,0.284,1.02309911506669e-68,"0","Ndufaf8"
"Serp1",6.47631091820017e-73,0.436197734391771,0.75,0.625,1.06425217318783e-68,"0","Serp1"
"Sidt2",8.13953828170494e-73,0.291958877904731,0.349,0.329,1.33757032583257e-68,"0","Sidt2"
"Ifitm6",9.53844989020019e-73,0.645841702612947,0.338,0.099,1.5674534704566e-68,"0","Ifitm6"
"Yeats4",1.16369366421241e-72,-0.258604574525765,0.102,0.337,1.91229779840025e-68,"0","Yeats4"
"B4galt1",2.45730571677975e-72,-0.325610090702969,0.066,0.3,4.03809048438416e-68,"0","B4galt1"
"Lsm12",2.6787163606722e-72,-0.310862130617005,0.115,0.353,4.40193459549263e-68,"0","Lsm12"
"Mlec",3.17817060438963e-72,-0.273855322742184,0.108,0.344,5.22268775419348e-68,"0","Mlec"
"Igkc",4.11066067476664e-72,-2.0478749688499,0.389,0.616,6.75504868684402e-68,"0","Igkc"
"Pigt",4.15771317381501e-72,-0.255808444689609,0.067,0.285,6.83237005853021e-68,"0","Pigt"
"Cmas",5.78363708034814e-72,-0.303029190087937,0.044,0.259,9.5042508141361e-68,"0","Cmas"
"Slc16a6",8.48254559484235e-72,0.397195327035697,0.297,0.201,1.39393671760044e-67,"0","Slc16a6"
"Senp1",1.2812459911963e-71,-0.254652269502033,0.047,0.259,2.10547153733288e-67,"0","Senp1"
"Ly6a",1.65806738149923e-71,-0.696750433658768,0.062,0.302,2.72470212801769e-67,"0","Ly6a"
"AU020206",1.97329080923343e-71,-0.42519743783178,0.05,0.277,3.24270878681329e-67,"0","AU020206"
"Rgs10",2.12983128403951e-71,-0.440051501706473,0.035,0.251,3.49995174906213e-67,"0","Rgs10"
"Coro7",2.56006493226935e-71,-0.280880805998308,0.056,0.272,4.20695470319823e-67,"0","Coro7"
"Ccnl1",2.88000211728055e-71,0.259181064222762,0.543,0.593,4.73270747932712e-67,"0","Ccnl1"
"Ctss",3.86226825896579e-71,-0.756818455200205,0.22,0.518,6.34686542995848e-67,"0","Ctss"
"Mgea5",4.43901837968039e-71,0.298122333861758,0.427,0.403,7.29463890332878e-67,"0","Mgea5"
"Dnaja1",4.83533744426366e-71,-0.377651311828331,0.572,0.84,7.94591002215847e-67,"0","Dnaja1"
"Ddit3",5.38519800576215e-71,0.411908278672775,0.253,0.157,8.84949588286894e-67,"0","Ddit3"
"Cpsf2",6.26049005793852e-71,-0.305067184777767,0.068,0.295,1.02878633122104e-66,"0","Cpsf2"
"Zfp710",7.0632795247526e-71,0.389312698606394,0.266,0.161,1.1607087243026e-66,"0","Zfp710"
"Rhof",7.52523061092969e-71,-0.270976464477378,0.09,0.316,1.23662114629408e-66,"0","Rhof"
"Mindy1",7.82431438112051e-71,0.438564270316467,0.269,0.123,1.28576958224953e-66,"0","Mindy1"
"Rnf166",8.22354538276542e-71,-0.267364428254677,0.117,0.355,1.35137521274984e-66,"0","Rnf166"
"Klf7",1.1253424814871e-70,0.345636411123859,0.311,0.295,1.84927529982775e-66,"0","Klf7"
"Vrk1",1.72832626703942e-70,0.348457633694222,0.267,0.187,2.84015855462588e-66,"0","Vrk1"
"Cnih4",1.83278027712044e-70,0.313200032543934,0.292,0.25,3.01180782939203e-66,"0","Cnih4"
"Mtmr3",2.57788932512746e-70,0.251540807613518,0.288,0.283,4.23624552798195e-66,"0","Mtmr3"
"Rfc1",3.93097055196401e-70,-0.25876915373768,0.087,0.309,6.45976390804246e-66,"0","Rfc1"
"H2afz",8.19752912854035e-70,-0.837621638490333,0.548,0.779,1.34709996169304e-65,"0","H2afz"
"Prkd3",1.11580307853863e-69,-0.307444672493842,0.047,0.266,1.83359919896253e-65,"0","Prkd3"
"Pgs1",1.14755167926212e-69,0.281816416642646,0.252,0.226,1.88577167453145e-65,"0","Pgs1"
"Fkbp2",1.51798666890259e-69,-0.332563288007183,0.039,0.252,2.49450749300762e-65,"0","Fkbp2"
"Slbp",1.58821165855723e-69,-0.272224147981479,0.129,0.366,2.60990821850709e-65,"0","Slbp"
"Bank1",1.61700759554149e-69,-0.876853623827501,0.082,0.311,2.65722858175332e-65,"0","Bank1"
"Rbl2",1.82602223146606e-69,-0.266915518420295,0.103,0.333,3.00070233296817e-65,"0","Rbl2"
"Arid5b",2.86519221947044e-69,-0.298498732345461,0.093,0.324,4.70837037425577e-65,"0","Arid5b"
"Sf3a3",2.92114291533751e-69,-0.266280166543721,0.048,0.256,4.80031415277413e-65,"0","Sf3a3"
"Fcer2a",5.16067526384876e-69,-0.768774542938492,0.043,0.257,8.48053766108267e-65,"0","Fcer2a"
"Rtn4",6.57477589285629e-69,0.250177635694566,0.386,0.4,1.08043292247307e-64,"0","Rtn4"
"Xbp1",1.12143069956368e-68,0.354841567405388,0.31,0.301,1.84284706859299e-64,"0","Xbp1"
"Dstn",1.15678966480736e-68,0.395057584424905,0.252,0.175,1.90095245617793e-64,"0","Dstn"
"Atp5j",1.31639335927676e-68,-0.254551707070023,0.435,0.71,2.16322920729951e-64,"0","Atp5j"
"Galnt6",1.9598575465803e-68,-0.251142742771671,0.062,0.267,3.22063390629541e-64,"0","Galnt6"
"Utrn",3.22889096341129e-68,-0.308977744357865,0.217,0.484,5.30603652017378e-64,"0","Utrn"
"Tnfrsf1b",5.73363208004017e-68,0.484588112101817,0.432,0.245,9.42207759713001e-64,"0","Tnfrsf1b"
"Csnk1g3",1.44357784482942e-67,-0.317868833888038,0.087,0.32,2.37223147240819e-63,"0","Csnk1g3"
"Il7r",1.90952186515672e-67,-0.917182239619517,0.071,0.294,3.13791728101204e-63,"0","Il7r"
"Nfkbia",2.16257424799061e-67,0.392127821681737,0.613,0.574,3.55375826172297e-63,"0","Nfkbia"
"Rfc2",2.71691523111959e-67,-0.264842053227889,0.086,0.302,4.46470679929882e-63,"0","Rfc2"
"Ucp2",2.84716722459869e-67,0.352311845491526,0.761,0.715,4.67874990018302e-63,"0","Ucp2"
"St8sia4",3.35755383688901e-67,0.262981948377094,0.461,0.513,5.51746822015972e-63,"0","St8sia4"
"Mrpl32",3.59252306724939e-67,-0.255552755650338,0.072,0.284,5.90359315641092e-63,"0","Mrpl32"
"Nup50",3.59805341051892e-67,-0.295124760977158,0.068,0.288,5.91268116950575e-63,"0","Nup50"
"B4galt5",4.56594299369359e-67,-0.345704650270422,0.076,0.307,7.50321412153667e-63,"0","B4galt5"
"Gcn1l1",5.51568728996024e-67,-0.253287443843827,0.058,0.264,9.06392892359166e-63,"0","Gcn1l1"
"Itgal",8.16917610235168e-67,0.428380149714177,0.816,0.653,1.34244070889945e-62,"0","Itgal"
"Map4k2",8.82115684723043e-67,0.378530892426041,0.494,0.394,1.44958070470538e-62,"0","Map4k2"
"Pik3cg",8.92499776656854e-67,0.278002531680949,0.261,0.236,1.46664488298021e-62,"0","Pik3cg"
"H2-Ob",1.26869464705911e-66,-0.749018950900308,0.096,0.34,2.08484591351223e-62,"0","H2-Ob"
"Ppp1r15a",2.2302141954012e-66,0.296005477331492,0.268,0.301,3.66491098730279e-62,"0","Ppp1r15a"
"Zbtb7b",2.2324047398714e-66,0.353940237402013,0.31,0.222,3.66851070903067e-62,"0","Zbtb7b"
"Ighm",2.30276689502785e-66,-1.38197115275643,0.506,0.733,3.78413683859927e-62,"0","Ighm"
"Stat4",2.69393377100952e-66,-0.274232480158074,0.168,0.416,4.42694136589994e-62,"0","Stat4"
"Pip4k2a",1.06977542576631e-65,0.298573055843758,0.339,0.315,1.75796195716177e-61,"0","Pip4k2a"
"Atp8b4",1.59340691047547e-65,0.270846004169532,0.282,0.285,2.61844557598433e-61,"0","Atp8b4"
"Il18r1",2.15817767674679e-65,-0.546701869752968,0.065,0.294,3.54653337619799e-61,"0","Il18r1"
"St3gal6",7.936509066436e-65,0.376950649324194,0.283,0.221,1.30420653488743e-60,"0","St3gal6"
"Dmxl1",8.0697111522816e-65,-0.378270105116724,0.101,0.34,1.32609563365443e-60,"0","Dmxl1"
"Dennd3",9.52911174198281e-65,0.431203446535237,0.252,0.096,1.56591893256004e-60,"0","Dennd3"
"Esd",1.07760732366062e-64,-0.271051032422445,0.205,0.446,1.7708321149715e-60,"0","Esd"
"Nfx1",1.21605533178442e-64,-0.268296875634716,0.067,0.276,1.99834372672133e-60,"0","Nfx1"
"Stk38",1.45305497255992e-64,0.27178272343431,0.58,0.596,2.38780523640771e-60,"0","Stk38"
"Lpp",2.63901654021235e-64,-0.279340754169509,0.063,0.268,4.33669588053096e-60,"0","Lpp"
"Ipcef1",3.44878788273226e-64,0.358997893380551,0.38,0.305,5.66739312769393e-60,"0","Ipcef1"
"Ubl5",4.90819110814229e-64,0.284869616479657,0.752,0.757,8.06563044801022e-60,"0","Ubl5"
"Tubb4b",6.5424348341243e-64,-0.329057908157232,0.241,0.508,1.07511831629165e-59,"0","Tubb4b"
"Ddx39",2.04244966667561e-63,-0.28354207598575,0.081,0.296,3.35635753724804e-59,"0","Ddx39"
"Otud4",2.76535778161905e-63,-0.275999053184354,0.061,0.264,4.54431244253458e-59,"0","Otud4"
"Upf3b",6.77386543476965e-63,-0.276758438646513,0.058,0.258,1.1131493068957e-58,"0","Upf3b"
"Smim14",7.43926433024401e-63,-0.343738478339759,0.216,0.477,1.222494307389e-58,"0","Smim14"
"Sbf1",8.94321026628157e-63,-0.267877084644265,0.084,0.295,1.46963774305805e-58,"0","Sbf1"
"Unc93b1",3.05656647761704e-62,0.484519256135588,0.575,0.384,5.02285569266808e-58,"0","Unc93b1"
"Tpm4",3.66393259332822e-62,0.332780230932669,0.64,0.599,6.02094043061626e-58,"0","Tpm4"
"Ing4",5.86816628462819e-62,0.259738366942694,0.265,0.247,9.64315765552951e-58,"0","Ing4"
"Mbtps1",6.17539184773963e-62,-0.26999380577762,0.069,0.272,1.01480214233905e-57,"0","Mbtps1"
"Ripor2",1.12495163976422e-61,0.310344557725499,0.734,0.742,1.84863302962455e-57,"0","Ripor2"
"Nfat5",1.20791449387865e-61,0.277841502766708,0.383,0.382,1.98496588779078e-57,"0","Nfat5"
"Trp53inp1",1.56059921937675e-61,0.256533077160708,0.338,0.344,2.56453269720182e-57,"0","Trp53inp1"
"Cerk",2.15807062163866e-61,-0.305923388538292,0.097,0.317,3.54635745253882e-57,"0","Cerk"
"Ptbp3",6.12392596072571e-61,0.261364081246035,0.759,0.799,1.00634475312606e-56,"0","Ptbp3"
"Cnn2",6.83003222759903e-61,0.296324564174581,0.755,0.763,1.12237919596135e-56,"0","Cnn2"
"AY036118",1.20042127454758e-60,-0.411211268423133,0.772,0.906,1.97265228046404e-56,"0","AY036118"
"Sgms1",1.29574668267728e-60,0.402061790517798,0.379,0.278,2.12930052364357e-56,"0","Sgms1"
"Eif1",1.3120110923172e-60,0.301619378122485,0.989,0.947,2.15602782800485e-56,"0","Eif1"
"Cd22",3.97034011433073e-60,-0.581884224445383,0.054,0.261,6.52445990987969e-56,"0","Cd22"
"Pou2f1",5.24329411102438e-60,-0.268972139913101,0.06,0.256,8.61630521264636e-56,"0","Pou2f1"
"H3f3b",6.75799598235614e-60,0.373604434237351,0.945,0.931,1.11054147978059e-55,"0","H3f3b"
