"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rhog",5.44819570024852e-165,-0.330446774967727,0.344,0.849,7.20414917443861e-161,"3","Rhog"
"Rhoa.3",9.41911796888063e-165,-0.361239223749551,0.319,0.84,1.24548996902509e-160,"3","Rhoa"
"Rpl9.1",1.88829570651229e-163,-0.954562809978862,0.115,0.696,2.4968934127212e-159,"3","Rpl9"
"Mirt1",1.57369245609789e-162,0.663759468088489,0.346,0.49,2.08089353469823e-158,"3","Mirt1"
"Clic1",2.72368584456175e-162,-0.382317397277172,0.267,0.789,3.601529792264e-158,"3","Clic1"
"Pfdn5.1",4.28329458648015e-162,-0.682011498490562,0.096,0.645,5.6638004317027e-158,"3","Pfdn5"
"Elob.1",2.88091996655813e-161,-0.874805919083779,0.081,0.641,3.80944047177982e-157,"3","Elob"
"Rac1",1.08585101891963e-160,-0.389260915521228,0.251,0.777,1.43582080231743e-156,"3","Rac1"
"Cyba.3",1.78355996224062e-160,-0.644584168408538,0.24,0.797,2.35840133807077e-156,"3","Cyba"
"Csnk1a1",6.94584264210376e-160,0.399763580705585,0.225,0.449,9.18448772565381e-156,"3","Csnk1a1"
"Sem1",7.59528334611162e-160,-0.590822224047308,0.259,0.808,1.00432431685634e-155,"3","Sem1"
"Tmsb4x.1",2.49318198436683e-159,-1.05535912634251,0.767,0.99,3.29673453792826e-155,"3","Tmsb4x"
"Ppp1r3b.2",2.97127046123419e-159,0.617566372770162,0.367,0.564,3.92891093088997e-155,"3","Ppp1r3b"
"Lyn.2",3.85273556242639e-159,0.604302704247139,0.465,0.644,5.09447223419642e-155,"3","Lyn"
"Zcchc6.2",1.09686556218197e-158,0.565258393722859,0.388,0.587,1.45038533287322e-154,"3","Zcchc6"
"Zc3h7a",1.93632461039864e-158,0.566424724389044,0.25,0.377,2.56040203233012e-154,"3","Zc3h7a"
"Suco",1.41201378242066e-157,0.71558651855671,0.391,0.52,1.86710582449484e-153,"3","Suco"
"Wsb1",3.1984844183939e-157,0.442692953677571,0.287,0.495,4.22935594644226e-153,"3","Wsb1"
"Ascc3",5.28905050215739e-157,0.675948967660525,0.221,0.294,6.99371147900272e-153,"3","Ascc3"
"Mvp",1.51698292371009e-156,0.429126715893956,0.157,0.316,2.00590652002185e-152,"3","Mvp"
"Mbnl2",4.59572330444044e-156,0.74690313543902,0.416,0.548,6.07692492546159e-152,"3","Mbnl2"
"Lilrb4a.1",4.76017887306826e-156,0.629327029972826,0.473,0.644,6.29438452385815e-152,"3","Lilrb4a"
"Rela",4.43440674007816e-155,0.464939330872815,0.146,0.267,5.86361603240535e-151,"3","Rela"
"Fus.2",8.27541304936582e-155,0.485334659359471,0.327,0.546,1.09425786751764e-150,"3","Fus"
"Rab21",1.06420206238185e-154,0.403892090618827,0.2,0.369,1.40719438708752e-150,"3","Rab21"
"Inpp5d.2",1.73668945799353e-154,0.716675761633206,0.216,0.267,2.29642447030484e-150,"3","Inpp5d"
"Msn",3.22324676435202e-154,0.303082957417584,0.491,0.807,4.26209919650268e-150,"3","Msn"
"Srsf5.1",1.39203989493364e-153,0.275803860806815,0.27,0.555,1.84069435307076e-149,"3","Srsf5"
"Sbno2.2",1.78079852365101e-153,0.5975422746209,0.221,0.346,2.35474988782373e-149,"3","Sbno2"
"Chmp2a",9.23664114513681e-153,-0.535087384588851,0.144,0.665,1.22136105862144e-148,"3","Chmp2a"
"Eef1a1.3",1.1236702559535e-152,-0.872398313024228,0.234,0.793,1.48582917944731e-148,"3","Eef1a1"
"Ddx6.2",1.26672713368241e-152,0.53630113786167,0.403,0.634,1.67499328886825e-148,"3","Ddx6"
"Cox17.2",1.97192773361021e-152,-0.579903444561896,0.346,0.862,2.60748004215279e-148,"3","Cox17"
"Kpna4.1",3.78698020895643e-152,0.45080582862954,0.48,0.742,5.00752393030309e-148,"3","Kpna4"
"Arih2.2",3.85002084892352e-152,0.520591015127265,0.25,0.391,5.09088256853157e-148,"3","Arih2"
"Ist1.1",7.20430945124184e-152,0.433945984095663,0.233,0.402,9.52625838737709e-148,"3","Ist1"
"Ip6k1",1.04242143172624e-151,0.517253589449358,0.223,0.352,1.3783938591716e-147,"3","Ip6k1"
"Rps12.1",1.1670626368262e-151,-0.846767286786884,0.136,0.692,1.54320692467528e-147,"3","Rps12"
"Rab44.2",2.93703618371769e-151,0.820385934960912,0.391,0.452,3.88364294572991e-147,"3","Rab44"
"Grb2",5.45122177468223e-151,-0.295207191362367,0.172,0.64,7.20815055266231e-147,"3","Grb2"
"Furin",1.38262127134604e-150,0.621604192089185,0.378,0.587,1.82824010710087e-146,"3","Furin"
"Cflar.2",1.65026474992875e-150,0.473960132061052,0.437,0.684,2.18214507883078e-146,"3","Cflar"
"Iqgap1",2.32462305931528e-150,0.616559069166873,0.584,0.764,3.0738490713326e-146,"3","Iqgap1"
"Ndel1.2",5.89251419268292e-150,0.612795902950641,0.461,0.649,7.79167151698463e-146,"3","Ndel1"
"Irak2.1",6.3864446676303e-150,0.451200026001787,0.427,0.656,8.44479578400754e-146,"3","Irak2"
"Tnfrsf23",7.19778865187181e-150,0.698096576546168,0.452,0.655,9.51763593437009e-146,"3","Tnfrsf23"
"AY036118",9.31745332251617e-150,0.349365670792128,0.378,0.676,1.23204685283631e-145,"3","AY036118"
"Ankrd11.1",3.16252162044507e-149,0.629421115975336,0.261,0.393,4.18180233871451e-145,"3","Ankrd11"
"Myl12b",5.30704440911512e-149,-0.486919314681431,0.265,0.785,7.01750482217293e-145,"3","Myl12b"
"Lyst.2",5.77856119404261e-149,0.802715319021695,0.529,0.663,7.64099146688255e-145,"3","Lyst"
"Tet2",1.01529617517057e-148,0.600079857231055,0.268,0.412,1.34252613242805e-144,"3","Tet2"
"Map2k3",1.70348890468273e-148,0.419359266590291,0.219,0.385,2.25252337866198e-144,"3","Map2k3"
"Rabgef1.2",1.25902882895558e-147,0.468069753909831,0.361,0.544,1.66481382052796e-143,"3","Rabgef1"
"Rps10.1",2.06457919727603e-147,-0.935540311764717,0.1,0.649,2.7299930725581e-143,"3","Rps10"
"Hnrnpa2b1.1",2.22329577133496e-147,0.386065855074466,0.293,0.535,2.93986399843622e-143,"3","Hnrnpa2b1"
"Baz2b.2",3.0874824612094e-147,0.707167564819348,0.425,0.557,4.08257805845719e-143,"3","Baz2b"
"Rab8b.1",5.7064195933376e-147,0.394674989133338,0.448,0.724,7.54559862827031e-143,"3","Rab8b"
"Tgoln1",1.65199673996565e-146,0.516095760019674,0.524,0.748,2.18443528925658e-142,"3","Tgoln1"
"N4bp1",2.9878151401288e-146,0.577640914744013,0.416,0.621,3.95078795979232e-142,"3","N4bp1"
"Rps13.2",1.45010662326115e-145,-0.710190650594866,0.144,0.681,1.91747598793822e-141,"3","Rps13"
"Tnrc18.1",1.49090554352779e-145,0.644856975687739,0.223,0.28,1.97142440020679e-141,"3","Tnrc18"
"Atf7ip.2",3.93825284140627e-145,0.577637451180524,0.219,0.378,5.20755173219151e-141,"3","Atf7ip"
