"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mxd1",1.64380610740874e-72,1.78300368914009,0.913,0.312,2.17360481582658e-68,"Neutrophils","Mxd1"
"Rps28",5.20292254268003e-72,-1.4391116872099,0.543,0.688,6.8798244781858e-68,"Neutrophils","Rps28"
"Hdc",5.90210111606686e-71,2.13653549493917,0.845,0.133,7.80434830577521e-67,"Neutrophils","Hdc"
"Tnfaip2",2.46117974387855e-70,1.71118672279406,0.932,0.32,3.25441797533061e-66,"Neutrophils","Tnfaip2"
"Mcl1",4.94103375330019e-70,0.921691198358507,0.99,0.695,6.53352893198884e-66,"Neutrophils","Mcl1"
"Cxcl2",2.59153104437011e-68,1.66750679227457,0.998,0.922,3.4267814999706e-64,"Neutrophils","Cxcl2"
"Lgals1",5.49299977773007e-67,-2.04693390037435,0.014,0.383,7.26339360609247e-63,"Neutrophils","Lgals1"
"Lilr4b",2.63589214481183e-65,1.26574318653686,0.928,0.336,3.48544018308468e-61,"Neutrophils","Lilr4b"
"Rpl31",2.81709789034495e-64,-1.50800445739316,0.164,0.492,3.72504854040313e-60,"Neutrophils","Rpl31"
"Rpl37",4.50010726666178e-62,-1.06870150811672,0.763,0.711,5.95049183870687e-58,"Neutrophils","Rpl37"
"Rpl27",1.3857271227739e-61,-1.1279928780475,0.34,0.453,1.83234697444392e-57,"Neutrophils","Rpl27"
"S100a9",9.45721325420102e-59,1.46924132380009,0.998,0.961,1.250527308603e-54,"Neutrophils","S100a9"
"Cd14",9.9471259522442e-59,1.34337634312439,0.969,0.578,1.31530846466525e-54,"Neutrophils","Cd14"
"mt-Nd2",2.69384055924732e-58,-1.68095653038791,0.124,0.414,3.56206537149274e-54,"Neutrophils","mt-Nd2"
"Hcar2",4.8316227464054e-58,1.31397329473761,0.939,0.422,6.38885475757186e-54,"Neutrophils","Hcar2"
"Cd9",5.44371546254799e-58,1.04180251926271,0.965,0.547,7.19822495612721e-54,"Neutrophils","Cd9"
"Ccr1",2.77353750851515e-57,1.20743927194471,0.902,0.312,3.66744864750959e-53,"Neutrophils","Ccr1"
"Grina",4.95797078754699e-57,0.683095168171093,0.967,0.5,6.55592477237338e-53,"Neutrophils","Grina"
"Ran",7.98587493363873e-57,-1.59159209144157,0.138,0.43,1.05597224247505e-52,"Neutrophils","Ran"
"S100a8",2.97358461256237e-56,1.4022299165142,0.997,0.953,3.93197093319122e-52,"Neutrophils","S100a8"
"H2afz",6.32815590872763e-56,-1.70618180234088,0.309,0.586,8.36772055811054e-52,"Neutrophils","H2afz"
"Rpl13a",5.93435795550319e-55,-1.25827416171946,0.161,0.438,7.84700152456187e-51,"Neutrophils","Rpl13a"
"Btf3",7.36615412136612e-55,-1.0633151854786,0.382,0.523,9.74026559468242e-51,"Neutrophils","Btf3"
"Il1b",3.03978741770003e-54,2.18990693242221,0.986,0.805,4.01951090242475e-50,"Neutrophils","Il1b"
"Eef2",7.67784094378603e-54,-1.08611231040652,0.356,0.5,1.01524090799683e-49,"Neutrophils","Eef2"
"Marcksl1",1.18259958777791e-53,1.49547989697555,0.823,0.188,1.56375143491872e-49,"Neutrophils","Marcksl1"
"Ptafr",2.66541473221757e-53,1.18681480807015,0.87,0.273,3.52447790041129e-49,"Neutrophils","Ptafr"
"Ets2",4.75070689994038e-53,1.13283592602709,0.815,0.188,6.28185973379117e-49,"Neutrophils","Ets2"
"Eif3f",1.15275273691396e-52,-1.24426961692556,0.076,0.422,1.52428494402133e-48,"Neutrophils","Eif3f"
"Entpd1",6.85627521488954e-52,1.65993846463612,0.759,0.133,9.06605271664843e-48,"Neutrophils","Entpd1"
